Game-Phase,Tournament,Phase,Final VOD URL
SS7 - ALL - (Xbox Series)-Full Tourney,SS7 - ALL - (Xbox Series),Full Tourney,"https://www.youtube.com/watch?v=N2ttlDftKNs
https://www.youtube.com/watch?v=Pui4M30uaKc
"
SSVI - NA - (PC-Fightcade)-Full Tourney,SSVI - NA - (PC-Fightcade),Full Tourney,https://youtu.be/fJkaPCSSzgQ
SSVSP - NA+SA - (PC-Fightcade)-Full Tourney,SSVSP - NA+SA - (PC-Fightcade),Full Tourney,https://youtu.be/oQu6O-q0gbQ
TF - NA - (PC-Fightcade)-Full Tourney,TF - NA - (PC-Fightcade),Full Tourney,https://youtu.be/pnfKxZYbHnE
TMNTTF - NA - (PC-Dolphin)-Full Tourney,TMNTTF - NA - (PC-Dolphin),Full Tourney,https://www.youtube.com/playlist?list=PLCBliRMaXdKM_vdBGm4syoaiAHCHLKp5c
TMNTXJLT - NA - (PC)-Full Tourney,TMNTXJLT - NA - (PC),Full Tourney,https://www.youtube.com/playlist?list=PLCBliRMaXdKM_vdBGm4syoaiAHCHLKp5c
TVC - NA - (PC-Dolphin)-Full Tourney,TVC - NA - (PC-Dolphin),Full Tourney,https://youtu.be/-TC8JYs8T0A
UFDK - ALL - (PC-Steam)-Full Tourney,UFDK - ALL - (PC-Steam),Full Tourney,https://youtu.be/5WQtaboxpkk
UGF - SA/BR - (PC-Steam)-Full Tourney,UGF - SA/BR - (PC-Steam),Full Tourney,"https://www.twitch.tv/videos/1743082994
https://www.youtube.com/watch?v=S_ml1b17TQw
"
UNICLR - NA/EC - (PC-Steam)-Full Tourney,UNICLR - NA/EC - (PC-Steam),Full Tourney,https://www.youtube.com/watch?v=sC-VV6DyjXo
UNICLR - NA/WC - (PC-Steam)-Full Tourney,UNICLR - NA/WC - (PC-Steam),Full Tourney,https://www.youtube.com/watch?v=1L7pqxmPMd4
UNICLR - SA/BR - (PC-Steam)-Full Tourney,UNICLR - SA/BR - (PC-Steam),Full Tourney,"https://www.twitch.tv/videos/1749181659
https://www.youtube.com/watch?v=TSG0vpLRXwg&ab_channel=BOBLEIS"
UNICLR - SA/CH - (PC-Steam)-Full Tourney,UNICLR - SA/CH - (PC-Steam),Full Tourney,https://youtu.be/Dy2fNdOAKpk
VF5US - JP - (PS4)-Full Tourney,VF5US - JP - (PS4),Full Tourney,https://youtu.be/hiE-v_KTcyk
VF5US - NA - (PS4)-Full Tourney,VF5US - NA - (PS4),Full Tourney,https://youtu.be/rzXTPkH3F3k
VSAV - NA - (PC-Fightcade)-Full Tourney,VSAV - NA - (PC-Fightcade),Full Tourney,"https://www.youtube.com/playlist?list=PLK2Ig4OVnwnHSyI_Vq19mteZaZPYmfLOY
"
VSAV - SA/BR - (PC-Fightcade)-Full Tourney,VSAV - SA/BR - (PC-Fightcade),Full Tourney,https://youtu.be/MIJ_IHqdwIM
WW7 - ALL - (PC-Fightcade)-Full Tourney,WW7 - ALL - (PC-Fightcade),Full Tourney,https://www.youtube.com/watch?v=cOverw52mGI
