Event,Region,Game,VOD,Bracket,Phase,1,2,3,4
GBVS - EU - (PC-Steam),EU,Granblue Fantasy Versus,<a href='https://www.youtube.com/watch?v=dUpoH60A2lU'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/granblue-fantasy-versus-eu/overview,Full Tourney,<b>WIZ</b> | Dragoi (@FGC_Dragoi),Sonicsan (@sonic_san),MrPOW (@Mr_P0W),mirri (@meowpurrmao)
GBVS - JP - (PS4),JP,Granblue Fantasy Versus,<a href='https://www.youtube.com/watch?v=5IUW7geX1Mk'>VOD</a>,https://tonamel.com/competition/oacIb,Full Tourney,それいけ！サンドバッグ,たまc,日本サメ映画学会,BL小鳥
GBVS - NA/EC - (PC-Steam),NA/EC,Granblue Fantasy Versus,<a href='https://www.youtube.com/watch?v=XjgKQ_jeCH8'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/granblue-fantasy-versus-na-ec/overview,Full Tourney,<b>GMBB</b> | Kuro (@GuruminStan),SenpaiSpyder (@SenpaiSpyder),MadBestKiller (@MBKCoach),Umbi (@UmbiTheUmbreon)
GBVS - NA/WC - (PC-Steam),NA/WC,Granblue Fantasy Versus,<a href='https://www.youtube.com/watch?v=MmxL2I3cC3o'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/granblue-fantasy-versus-na-wc/overview,Full Tourney,<b>Yuisis</b> | Shuaboo (@shuaboo),Skip (@skip0910),GardeninTool (@Gardenin_Tool),Kilo (@Faptoanimegirls)
GBVS - SA/BR - (PC-Steam),BR,Granblue Fantasy Versus,<a href='https://youtu.be/WPnh1f-eSlY'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/granblue-fantasy-versus-br-steam/overview,Full Tourney,AmmySensei (@AkatsukiSensei),Hazler (@HazHazdoGBVS),<b>ARC (Arcadian)</b> | Aoi (@HenriqueRod21),Elodius (@MrElodius)
GBVS - SA/BR - (PS4),BR,Granblue Fantasy Versus,<a href='https://www.youtube.com/watch?v=BUTj7vdIwK4'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/granblue-fantasy-versus-br-ps4/overview,Full Tourney,AmmySensei (@AkatsukiSensei),<b>ARC</b> | Aoi (@HenriqueRod21),GoldenBoy (@Golden_boy_fgc),<b>EC</b> | Shiiras (@Shiiras)
GBVS - SA/SUD - (PC-Steam),SUD,Granblue Fantasy Versus,<a href='https://www.youtube.com/watch?v=rCqdqjTus7M'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/granblue-fantasy-versus-sud/overview,Full Tourney,Raz (@RazFGC),<b>KYU</b> | XIVMantecol (@reymantecol),Mikon (@Mikonkon_),<b>G9</b> | Piñeiro (@Pinneiro95)
GGST - JP - (PC-Steam),JP,Guilty Gear -STRIVE-,<a href='https://youtu.be/LrRqX_s7TKM'>VOD</a>,https://tonamel.com/competition/OhIt0,Full Tourney,アイス,うがしょ,緑茶,かぷえぬ
GGST - SA/BR - (PC-Steam),BR,Guilty Gear -STRIVE-,<a href='https://youtu.be/UZw7fF-PH1g'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/guilty-gear-strive-br/overview,Full Tourney,Juzy (@JuzyNflames),<b>UA</b> | Rang13 (@31gnar),Alma Negra (@AlmaNegra101),Tms (@ThiagodaCunhaM4)
GGST - SA/SUD - (PC-Steam),SUD,Guilty Gear -STRIVE-,<a href='https://youtu.be/zhuJlCeG7NY'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/guilty-gear-strive-sud/overview,Full Tourney,<b>HDG</b> | Atma (@AtmaCL_),<b>TEW</b> | Mr Panda (@MrPannda),<b>WG</b> | Belisha (@BeliBeacon),Dentran (@Dentran_)
GGXRD - EU - (PC-Steam),EU,Guilty Gear Xrd REV 2,<a href='https://youtu.be/kZaM_FlqZVg'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/guilty-gear-xrd-rev2-eu/overview,Top 24,Kidiot (@Kidiot__),PsychedelicPet (@PsychedelicPet),Scopedog,EIiitti (@EIiitti)
GGXRD - OCE - (PC-Steam),OCE,Guilty Gear Xrd REV 2,<a href='https://www.youtube.com/watch?v=E9paMNCQTAI'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/guilty-gear-xrd-rev2-oce/overview,Full Tourney,Risky | CrazyDiamond (@risky_b_s),saf (@saf_gc),gLass (@gLass_623),Feri
GGXRD - SA/SUD - (PC-Steam),SUD,Guilty Gear Xrd REV 2,<a href='https://www.youtube.com/watch?v=4T6Hpj-gHkI'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/guilty-gear-xrd-rev2-sud/overview,Full Tourney,Zion_20 (@IXionI),<b>TEW</b> | Matriaxx85 (@Matriaxx85),Mint (@El__Mint),<b>S.A.P.E.</b> | Vengakong (@Mamut666999)
GGACPR - EU - (PC-Steam),EU,Guilty Gear XX Accent Core Plus R,"<a href='https://youtu.be/v-GfASyYyQQ'>VOD</a>, <a href='https://youtu.be/v-GfASyYyQQ'>VOD 2</a>",https://www.start.gg/tournament/vortex-gallery-online-2023/event/guilty-gear-xx-accent-core-plus-r-eu/overview,Top 24,OppositeofDecay (@OppositeofDecay),Luemi,Dont,Gekow (@Gekow_Lizard)
GGACPR - JP - (PC-Steam),JP,Guilty Gear XX Accent Core Plus R,<a href='https://youtu.be/g1OSW5CruFU'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/guilty-gear-xx-accent-core-plus-r-japan/overview,Full Tourney,Kesuke (@ksksandesu),Matsui (@matuid7000),Hotta ( @hotta_masayoshi),Rakkosan
GGACPR - NA - (PC-Steam),NA,Guilty Gear XX Accent Core Plus R,<a href='https://youtu.be/Z5sZHO-itGM'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/guilty-gear-xx-accent-core-plus-r-na/overview,Full Tourney,JasonRiot (@JRiotX),Jacobpat84 (@jacobpat84),Orrax / Luke (@orraxgg),Evelyn (@wimblefgc)
GGACPR - OCE - (PC-Steam),OCE,Guilty Gear XX Accent Core Plus R,<a href='https://youtu.be/FHDAl1sQSaA'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/guilty-gear-xx-accent-core-plus-r-oceania/overview,Full Tourney,buster (@nz_buster),hdr,Moose (@shmoose_),muffins (@hannahmuffins_)
